source:/home/contrera/Nextcloud/codigo/get_homologues-est/sample_intersection	E_coli_ST131_plasmid_pKC394.gb	E_coli_plasmid_pMUR050.gb	IncN_plasmid_R46.gb	K_oxytoca_plasmid_pKOX105.gb	K_pneumoniae_12_plasmid_12.gb	K_pneumoniae_9_plasmid_9.gb	K_pneumoniae_KP96_plasmid_pKP96.gb	S_enterica_subsp_enterica_serovar_Dublin_plasmid_pMAK2.gb	Uncultured_bacterium_plasmid_pRSB201.gb	Uncultured_bacterium_plasmid_pRSB203.gb	Uncultured_bacterium_plasmid_pRSB205.gb	Uncultured_bacterium_plasmid_pRSB206.gb	
7_transposase_A.faa	ID:ADH29967.1,	-	-	-	-	-	-	-	-	-	-	-	
8_tnpA.faa	ID:ADH30013.1,ID:ADH30014.1,	-	-	-	-	-	-	-	-	-	-	-	
9_mphA.faa	ID:ADH29968.1,	-	-	-	-	-	-	-	-	-	-	-	
10_mrx.faa	ID:ADH29969.1,	-	-	-	-	-	-	-	-	-	-	-	
11_blaCTX-M-1.faa	ID:ADH29970.1,	-	-	-	-	-	-	-	-	-	-	-	
13_hypothetical_protein.faa	ID:ADH29971.1,	-	-	-	-	-	-	-	-	-	-	-	
34_methyl-accepting_che...faa	ID:ADH30015.1,	-	-	-	-	-	-	-	-	-	-	-	
35_tnpA.faa	ID:ADH29992.1,	ID:AAT01860.1,	-	-	-	-	ID:ABY74371.1,	-	-	-	-	-	
36_beta-lactamase_CTX-M...faa	ID:ADH29993.1,	-	-	ID:ADH29557.1,	ID:ACI63023.1,ID:ACI63039.1,	ID:ACI63105.1,ID:ACI63116.1,	ID:ABY74372.1,	ID:BAF93093.1,	ID:AEW28787.1,	-	ID:AEW28870.1,	ID:AEW28922.1,	
60_ant3-9.faa	-	ID:ABG33786.1,ID:ABG33789.1,	ID:AAL13420.1,	-	ID:ACI63026.1,	-	-	-	ID:AEW28744.1,	-	-	-	
61_linF.faa	-	ID:ABG33787.1,	-	-	-	-	-	-	-	-	-	-	
64_qacEdelta1.faa	-	ID:ABG33790.1,	ID:AAL13423.1,	-	-	-	ID:ACG49253.1,	-	-	-	-	-	
65_sul1.faa	-	ID:ABG33791.1,	ID:AAL13424.1,	-	ID:ACI63019.1,	-	ID:ABY74385.1,ID:ABY74425.1,	-	-	-	-	ID:AEW28927.1,	
66_hypothetical_protein.faa	-	ID:ABG33792.2,	-	-	-	-	ID:ABY74388.1,	-	-	-	-	-	
68_armA.faa	-	ID:ABG33841.1,	-	-	-	-	-	-	-	-	-	-	
69_hypothetical_protein.faa	-	ID:ABG33793.1,	-	-	-	-	-	-	-	-	-	-	
70_tnpD.faa	-	ID:ABG33794.1,	-	-	-	-	ID:ABY74366.1,ID:ABY74376.1,	-	-	-	-	-	
71_mel.faa	-	ID:ABG33795.1,	-	-	-	-	-	-	-	-	-	-	
72_mph1.faa	-	ID:ABG33796.1,	-	-	-	-	-	-	-	-	-	-	
73_mph2.faa	-	ID:ABG33797.1,	-	-	-	-	-	-	-	-	-	-	
74_hypothetical_protein.faa	-	ID:ABG33798.1,	-	-	-	-	-	-	-	-	-	-	
87_traA.faa	-	ID:ABG33811.1,	ID:AAL13385.1,	-	-	-	-	-	-	-	-	-	
159_intI1.faa	-	-	ID:AAL13418.1,	ID:ADH29523.1,ID:ADH29561.1,	ID:ACI62988.1,	-	ID:ABY74390.1,	-	ID:AEW28743.1,	-	-	-	
160_oxa2.faa	-	-	ID:AAL13419.1,ID:AAL13421.1,	-	-	-	-	-	-	-	-	-	
163_unknown.faa	-	-	ID:AAL13422.1,	-	-	-	-	-	-	-	-	-	
166_unknown.faa	-	-	ID:AAL13425.1,	-	-	-	ID:ABY74384.1,	-	-	-	-	-	
